college,department,prefix,number,title,credit hours,course attr,corequisites,prerequisites,course description
Business,Lynn Pippenger Schl of Account,ACG,4642,Auditing II,3,N/A,N/A,ACG 4632 Minimum Grade: C and ACG 3103 Minimum Grade: C ,"This course provides special emphasis on additional reporting topics and audit techniques not previously addressed."
Business,Lynn Pippenger Schl of Account,ACG,4684,Fraud Examinations,3,N/A,N/A,ACG 3401 Minimum Grade: C and ACG 3103 Minimum Grade: C ,"This course furthers problem solving ability by increasing the student's knowledge of fraud and forensic examinations. Topics covered include the nature of fraud, detecting and preventing fraud, and various methods of proof for forensic examinations."
Business,Lynn Pippenger Schl of Account,ACG,4840,Analytics in Accounting,3,CapstoneHigh Impact Practice,N/A,ACG 4632 Minimum Grade: C and TAX 4001 Minimum Grade: C ,"A study of the role of accounting data analytics in business, including the use of technology and data visualization."
Business,Lynn Pippenger Schl of Account,ACG,4842,Business Reporting Analytics,3,N/A,N/A,ACG 3113 Minimum Grade: C ,"This course explores complex financial and managerial accounting topics relevant to corporate decision-makers and financial statement users.  Emphasis is placed on strategic costs and benefits, impacts on the financial statements and data analytics."
Business,Lynn Pippenger Schl of Account,ACG,4843,Analytics in Auditing,3,N/A,N/A,ACG 4632 Minimum Grade: C ,"This course covers the impact of recent regulatory requirements and standards related to auditing, the integration of technology in the audit, the application of data analytics in auditing, the application of judgment and critical thinking to audit estimates, the audit of system and organization controls (SOC), and the audit implication of emerging technologies."
Business,Lynn Pippenger Schl of Account,ACG,4901,Independent Study,1 - 3,N/A,N/A,N/A,"Specialized independent study determined by the students' needs and interests."
Business,Lynn Pippenger Schl of Account,ACG,4911,Independent Research,1 - 4,N/A,N/A,N/A,Individual study contract with instructor and director required. The research project will be mutually determined by the student and instructor.
Business,Lynn Pippenger Schl of Account,ACG,4912,Undergraduate Research,3,High Impact PracticeUndergraduate Research,N/A,N/A,"In this course, students will conduct a project that enables them, individually or in groups, to pose or work from a defined research question, apply methods of inquiry to generate findings, and share the findings with others."
Business,Lynn Pippenger Schl of Account,ACG,4931,Selected Topics In Accounting,1 - 3,N/A,N/A,ACG 3103 Minimum Grade: C ,The course content will depend on student demand and instructor's interest.
Business,Lynn Pippenger Schl of Account,ACG,4940,Accounting Internship,3,InternshipHigh Impact Practice,N/A,N/A,"The course consists of two components: an academic component focused on professional development skills and an on-site experiential learning experience comprised of at least 120 hours of on-site experience."
Business,Lynn Pippenger Schl of Account,ACG,4970,Accounting Honors Thesis,3,State Communication Req.USFT State Communication Req.USFT-FKL Writing Intensive,N/A,GEB 4970 Minimum Grade: C ,This course is the climax of an undergraduate experience in the Muma College of Business. Thesis development supports critical investigation to develop explanations or solutions to academically interesting business problems or opportunities.
Business,Lynn Pippenger Schl of Account,ACG,5205,Advance Financial Accounting,3,N/A,N/A,N/A,"Accounting for business combinations, preparation of consolidated financial statements, home office/branch relationship, foreign operations and transactions, partnerships."
Business,Lynn Pippenger Schl of Account,ACG,5375,Business Valuations,3,N/A,N/A,N/A,"Prepares students to assess how a firm can increase its value. Students develop an understanding of the principles behind business valuation and learn how to use these principles to assess a company's value through a case study."
